Time/s,Azimuth/deg,Zenith/deg
1,268.99,37.838
21,263.15,37.873
41,257.29,37.969
61,251.42,38.124
81,245.53,38.335
101,239.6,38.599
121,233.64,38.912
141,227.63,39.268
161,221.58,39.662
181,215.48,40.089
201,209.33,40.541
221,203.13,41.013
241,196.88,41.498
261,190.57,41.99
281,184.22,42.484
301,177.82,42.972
321,171.38,43.45
341,164.9,43.912
361,158.38,44.353
381,151.83,44.77
401,145.25,45.157
421,138.64,45.511
441,132.01,45.83
461,125.36,46.11
481,118.7,46.349
501,112.04,46.545
521,105.36,46.698
541,98.694,46.805
561,92.029,46.868
581,85.374,46.885
601,78.732,46.858
621,72.108,46.788
641,65.507,46.676
661,58.932,46.525
681,52.387,46.335
701,45.876,46.112
721,39.401,45.857
741,32.967,45.575
761,26.575,45.269
781,20.228,44.945
801,13.927,44.606
821,7.6738,44.257
841,1.4684,43.905
861,355.31,43.554
881,349.2,43.21
901,343.13,42.879
921,337.11,42.566
941,331.12,42.277
961,325.17,42.018
981,319.25,41.793
1001,313.35,41.606
1021,307.46,41.464
1041,301.58,41.368
1061,295.7,41.322
1081,289.81,41.328
1101,283.91,41.388
1121,277.98,41.502
1141,272.01,41.669
1161,266.01,41.889
1181,259.96,42.159
1201,253.85,42.477
1221,247.7,42.838
1241,241.49,43.239
1261,235.22,43.676
1281,228.9,44.142
1301,222.52,44.632
1321,216.08,45.142
1341,209.59,45.665
1361,203.05,46.196
1381,196.46,46.729
1401,189.83,47.259
1421,183.16,47.781
1441,176.46,48.289
1461,169.72,48.779
1481,162.97,49.247
1501,156.19,49.689
1521,149.39,50.102
1541,142.58,50.483
1561,135.77,50.828
1581,128.95,51.137
1601,122.13,51.407
1621,115.32,51.637
1641,108.52,51.826
1661,101.74,51.974
1681,94.973,52.082
1701,88.229,52.149
1721,81.512,52.178
1741,74.824,52.169
1761,68.17,52.124
1781,61.552,52.046
1801,54.973,51.938
1821,48.435,51.802
1841,41.941,51.642
1861,35.491,51.462
1881,29.088,51.265
1901,22.731,51.055
1921,16.42,50.838
1941,10.156,50.618
1961,3.9366,50.398
1981,357.76,50.185
2001,351.62,49.982
2021,345.52,49.793
2041,339.46,49.624
2061,333.42,49.478
2081,327.4,49.36
2101,321.4,49.272
2121,315.4,49.219
2141,309.42,49.202
2161,303.42,49.224
2181,297.42,49.286
2201,291.39,49.389
2221,285.34,49.535
2241,279.26,49.722
2261,273.14,49.949
2281,266.97,50.216
2301,260.76,50.52
2321,254.5,50.858
2341,248.18,51.228
2361,241.8,51.626
2381,235.37,52.048
2401,228.88,52.491
2421,222.34,52.949
2441,215.75,53.418
2461,209.1,53.894
2481,202.41,54.372
2501,195.67,54.847
2521,188.9,55.316
2541,182.09,55.774
2561,175.25,56.217
2581,168.38,56.642
2601,161.49,57.044
2621,154.58,57.421
2641,147.67,57.77
2661,140.74,58.089
2681,133.82,58.376
2701,126.89,58.629
2721,119.98,58.847
2741,113.07,59.03
2761,106.18,59.177
2781,99.314,59.288
2801,92.469,59.365
2821,85.65,59.408
2841,78.862,59.419
2861,72.108,59.399
2881,65.391,59.35
2901,58.713,59.276
2921,52.076,59.178
2941,45.482,59.061
2961,38.933,58.926
2981,32.428,58.779
3001,25.969,58.622
3021,19.555,58.46
3041,13.186,58.296
3061,6.8593,58.134
3081,0.57425,57.979
3101,354.33,57.834
3121,348.12,57.702
3141,341.94,57.588
3161,335.79,57.495
3181,329.66,57.425
3201,323.55,57.382
3221,317.45,57.368
3241,311.36,57.384
3261,305.27,57.433
3281,299.17,57.516
3301,293.06,57.633
3321,286.93,57.783
3341,280.78,57.968
3361,274.6,58.185
3381,268.38,58.433
3401,262.12,58.712
3421,255.82,59.018
3441,249.47,59.349
3461,243.07,59.701
3481,236.62,60.073
3501,230.12,60.46
3521,223.57,60.858
3541,216.97,61.265
3561,210.31,61.676
3581,203.61,62.087
3601,196.87,62.494
3621,190.08,62.894
3641,183.26,63.284
3661,176.4,63.659
3681,169.51,64.017
3701,162.6,64.354
3721,155.67,64.668
3741,148.72,64.957
3761,141.76,65.219
3781,134.8,65.451
3801,127.84,65.653
3821,120.88,65.824
3841,113.92,65.963
3861,106.98,66.071
3881,100.06,66.146
3901,93.162,66.192
3921,86.286,66.207
3941,79.439,66.195
3961,72.623,66.156
3981,65.842,66.093
4001,59.098,66.007
4021,52.394,65.903
4041,45.731,65.783
4061,39.11,65.65
4081,32.533,65.507
4101,25.999,65.358
4121,19.509,65.207
4141,13.062,65.057
4161,6.6572,64.911
4181,0.29238,64.773
4201,353.97,64.647
4221,347.67,64.536
4241,341.41,64.443
4261,335.18,64.371
4281,328.98,64.322
4301,322.79,64.299
4321,316.62,64.303
4341,310.46,64.337
4361,304.3,64.4
4381,298.14,64.495
4401,291.97,64.62
4421,285.79,64.777
4441,279.6,64.963
4461,273.38,65.178
4481,267.13,65.421
4501,260.85,65.69
4521,254.54,65.982
4541,248.18,66.295
4561,241.78,66.626
4581,235.34,66.972
4601,228.85,67.33
4621,222.31,67.697
4641,215.73,68.068
4661,209.1,68.44
4681,202.42,68.811
4701,195.69,69.176
4721,188.93,69.532
4741,182.12,69.876
4761,175.28,70.204
4781,168.41,70.515
4801,161.51,70.805
4821,154.59,71.072
4841,147.64,71.314
4861,140.69,71.53
4881,133.72,71.718
4901,126.75,71.877
4921,119.78,72.006
4941,112.81,72.106
4961,105.85,72.177
4981,98.91,72.218
5001,91.984,72.232
5021,85.079,72.218
5041,78.2,72.18
5061,71.35,72.118
5081,64.532,72.035
5101,57.748,71.934
5121,51,71.817
5141,44.291,71.687
5161,37.623,71.547
5181,30.995,71.401
5201,24.408,71.252
5221,17.864,71.104
5241,11.36,70.96
5261,4.8965,70.823
5281,358.47,70.697
5301,352.08,70.584
5321,345.73,70.489
5341,339.41,70.413
5361,333.11,70.36
5381,326.85,70.331
5401,320.6,70.329
5421,314.36,70.355
5441,308.14,70.411
5461,301.93,70.496
5481,295.72,70.612
5501,289.5,70.759
5521,283.28,70.935
5541,277.05,71.14
5561,270.79,71.373
5581,264.52,71.632
5601,258.22,71.915
5621,251.88,72.219
5641,245.52,72.541
5661,239.12,72.88
5681,232.67,73.231
5701,226.19,73.592
5721,219.66,73.958
5741,213.09,74.327
5761,206.47,74.695
5781,199.81,75.058
5801,193.11,75.414
5821,186.37,75.758
5841,179.58,76.088
5861,172.77,76.4
5881,165.91,76.693
5901,159.03,76.964
5921,152.12,77.211
5941,145.19,77.432
5961,138.24,77.625
5981,131.28,77.79
6001,124.31,77.926
6021,117.34,78.033
6041,110.37,78.11
6061,103.4,78.158
6081,96.44,78.179
6101,89.497,78.172
6121,82.571,78.141
6141,75.667,78.085
6161,68.788,78.009
6181,61.937,77.913
6201,55.117,77.802
6221,48.33,77.676
6241,41.579,77.541
6261,34.864,77.398
6281,28.188,77.252
6301,21.55,77.106
6321,14.95,76.963
6341,8.3893,76.826
6361,1.866,76.699
6381,355.38,76.586
6401,348.93,76.489
6421,342.51,76.411
6441,336.12,76.355
6461,329.76,76.323
6481,323.42,76.318
6501,317.1,76.342
6521,310.8,76.394
6541,304.51,76.478
6561,298.23,76.592
6581,291.95,76.738
6601,285.68,76.915
6621,279.4,77.122
6641,273.1,77.358
6661,266.8,77.622
6681,260.48,77.912
6701,254.13,78.225
6721,247.77,78.559
6741,241.37,78.911
6761,234.94,79.278
6781,228.48,79.656
6801,221.98,80.0421
6821,215.44,80.4324
6841,208.86,80.8233
6861,202.24,81.211
6881,195.59,81.592
6901,188.89,81.9626
6921,182.15,82.3195
6941,175.38,82.6595
6961,168.57,82.9797
6981,161.72,83.2773
7001,154.85,83.55
7021,147.95,83.7957
7041,141.02,84.0129
7061,134.08,84.2002
7081,127.12,84.3568
7101,120.14,84.4821
7121,113.16,84.5761
7141,106.18,84.6392
7161,99.198,84.672
7181,92.222,84.6756
7201,85.256,84.6516
7221,78.304,84.6017
7241,71.369,84.528
7261,64.456,84.4331
7281,57.566,84.3195
7301,50.704,84.1904
7321,43.871,84.0487
7341,37.069,83.8978
7361,30.301,83.7412
7381,23.566,83.5823
7401,16.867,83.4247
7421,10.202,83.2721
7441,3.5726,83.1278
7461,356.98,82.9953
7481,350.42,82.878
7501,343.89,82.779
7521,337.39,82.7012
7541,330.91,82.6473
7561,324.47,82.6196
7581,318.04,82.6202
7601,311.64,82.6508
7621,305.25,82.7128
7641,298.87,82.807
7661,292.51,82.934
7681,286.14,83.0938
7701,279.78,83.2861
7721,273.41,83.5101
7741,267.04,83.7645
7761,260.66,84.0478
7781,254.26,84.3579
7801,247.84,84.6924
7821,241.41,85.0485
7841,234.94,85.4232
7861,228.46,85.8131
7881,221.94,86.2147
7901,215.39,86.6241
7921,208.81,87.0375
7941,202.19,87.451
7961,195.54,87.8604
7981,188.85,88.2617
8001,182.13,88.6512
8021,175.37,89.02501
8041,168.58,89.37954
8061,161.75,89.7115
8081,154.9,90.017866
8101,148.01,90.29596
8121,141.1,90.54348
8141,134.16,90.75856
8161,127.21,90.93974
8181,120.23,91.086
8201,113.25,91.1969
8221,106.25,91.2724
8241,99.253,91.3129
8261,92.252,91.3191
8281,85.255,91.2926
8301,78.265,91.2349
8321,71.286,91.1481
8341,64.321,91.0348
8361,57.375,90.89761
8381,50.449,90.73968
8401,43.546,90.56427
8421,36.67,90.37485
8441,29.821,90.17507
8461,23.002,89.968677
8481,16.213,89.75948
8501,9.4556,89.55133
8521,2.7299,89.34802
8541,356.04,89.15332
8561,349.37,88.9709
8581,342.74,88.8041
8601,336.13,88.6564
8621,329.56,88.5308
8641,323.01,88.43
8661,316.48,88.3566
8681,309.97,88.3127
8701,303.47,88.3001
8721,296.99,88.3202
8741,290.52,88.374
8761,284.06,88.4621
8781,277.61,88.5846
8801,271.15,88.7413
8821,264.69,88.9314
8841,258.22,89.15368
8861,251.74,89.40664
8881,245.25,89.68828
8901,238.74,89.9962062
8921,232.22,90.32768
8941,225.67,90.67963
8961,219.1,91.0487
8981,212.5,91.4312
9001,205.87,91.8233
9021,199.21,92.2209
9041,192.52,92.62
9061,185.81,93.0161
9081,179.06,93.4052
9101,172.27,93.7829
9121,165.46,94.1451
9141,158.62,94.4878
9161,151.75,94.8073
9181,144.85,95.0999
9201,137.93,95.3626
9221,130.99,95.5925
9241,124.03,95.7873
9261,117.04,95.945
9281,110.05,96.0642
9301,103.05,96.1441
9321,96.038,96.1842
9341,89.025,96.1847
9361,82.014,96.1464
9381,75.007,96.0703
9401,68.008,95.9584
9421,61.021,95.8127
9441,54.049,95.6357
9461,47.095,95.4305
9481,40.162,95.2004
9501,33.251,94.9489
9521,26.365,94.6797
9541,19.507,94.3969
9561,12.676,94.1045
9581,5.8739,93.8067
9601,359.1,93.5076
9621,352.36,93.2114
9641,345.64,92.922
9661,338.96,92.6435
9681,332.3,92.3796
9701,325.67,92.1339
9721,319.06,91.9095
9741,312.48,91.7096
9761,305.91,91.5368
9781,299.36,91.3935
9801,292.83,91.2816
9821,286.3,91.2027
9841,279.79,91.158
9861,273.28,91.1482
9881,266.77,91.1737
9901,260.26,91.2342
9921,253.74,91.3292
9941,247.21,91.4577
9961,240.68,91.6183
9981,234.12,91.8092
10001,227.55,92.028
10021,220.96,92.2724
10041,214.35,92.5393
10061,207.71,92.8255
10081,201.05,93.1275
10101,194.35,93.4416
10121,187.63,93.7639
