Time/s,Azimuth/deg,Zenith/deg
1,268.99,37.838
161,221.58,39.662
321,171.38,43.45
481,118.7,46.349
641,65.507,46.676
801,13.927,44.606
961,325.17,42.018
1121,277.98,41.502
1281,228.9,44.142
1441,176.46,48.289
1601,122.13,51.407
1761,68.17,52.124
1921,16.42,50.838
2081,327.4,49.36
2241,279.26,49.722
2401,228.88,52.491
2561,175.25,56.217
2721,119.98,58.847
2881,65.391,59.35
3041,13.186,58.296
3201,323.55,57.382
3361,274.6,58.185
3521,223.57,60.858
3681,169.51,64.017
3841,113.92,65.963
4001,59.098,66.007
4161,6.6572,64.911
4321,316.62,64.303
4481,267.13,65.421
4641,215.73,68.068
4801,161.51,70.805
4961,105.85,72.177
5121,51,71.817
5281,358.47,70.697
5441,308.14,70.411
5601,258.22,71.915
5761,206.47,74.695
5921,152.12,77.211
6081,96.44,78.179
6241,41.579,77.541
6401,348.93,76.489
6561,298.23,76.592
6721,247.77,78.559
6881,195.59,81.592
7041,141.02,84.0129
7201,85.256,84.6516
7361,30.301,83.7412
7521,337.39,82.7012
7681,286.14,83.0938
7841,234.94,85.4232
8001,182.13,88.6512
8161,127.21,90.93974
8321,71.286,91.1481
8481,16.213,89.75948
8641,323.01,88.43
8801,271.15,88.7413
8961,219.1,91.0487
9121,165.46,94.1451
9281,110.05,96.0642
9441,54.049,95.6357
9601,359.1,93.5076
9761,305.91,91.5368
9921,253.74,91.3292
10081,201.05,93.1275
10241,146.71,95.6375
10401,90.908,96.8948
10561,35.078,95.7583
10721,340.7,92.9321
10881,288.07,90.34
11041,236.17,89.55343
11201,183.39,90.7016
11361,128.79,92.4566
11521,72.914,92.9934
11681,17.447,91.3376
11841,323.83,88.2057
12001,272.08,85.4358
12161,220.83,84.467
12321,168.37,85.2775
12481,113.88,86.5058
12641,58.111,86.5129
12801,2.9709,84.5849
12961,309.98,81.5104
13121,259.02,79
13281,208.43,78.283
13441,156.33,79.124
13601,101.97,80.099
13761,46.3,79.744
13921,351.36,77.64
14081,298.79,74.733
14241,248.41,72.645
14401,198.3,72.354
14561,146.41,73.36
14721,92.093,74.148
14881,36.438,73.419
15041,341.6,71.058
15201,289.33,68.226
15361,239.39,66.505
15521,189.63,66.6
15681,137.87,67.708
15841,83.567,68.209
16001,27.934,66.959
16161,333.19,64.154
16321,281.21,61.22
16481,231.75,59.756
16641,182.39,60.181
16801,130.85,61.336
16961,76.695,61.464
17121,21.262,59.563
17281,326.79,56.138
17441,275.26,52.961
17601,226.51,51.765
17761,177.8,52.671
17921,126.7,54.059
18081,73.008,53.973
18241,18.243,51.523
18401,324.63,47.516
18561,274.13,44.17
18721,226.45,43.534
18881,178.38,45.403
19041,127.62,47.544
