Time/s,Azimuth/deg,Zenith/deg
1,268.99,37.838
2001,351.62,49.982
4001,59.098,66.007
6001,124.31,77.926
8001,182.13,88.6512
10001,227.55,92.028
12001,272.08,85.4358
14001,324.74,76.187
16001,27.934,66.959
18001,100.11,54.292
20001,185.17,42.057
22001,270.29,47.945
24001,333.69,62.801
26001,33.717,75.904
28001,92.194,89.78017
30001,140.69,96.1587
32001,188.12,86.3363
34001,241.22,73.92
36001,298.75,63.821
38001,8.0087,52.755
40001,95.306,46.137
42001,182.91,51.806
44001,251.66,62.943
46001,309.07,73.471
48001,2.8329,86.4458
50001,50.762,96.5411
52001,99.33,89.87023
54001,157.19,75.951
56001,216.37,63.06
58001,279.62,48.624
60001,4.9064,42.802
62001,90.719,54.069
64001,163.33,66.166
66001,226.03,75.279
68001,278.49,84.9327
70001,323.33,92.432
72001,9.0504,89.39321
74001,67.13,78.381
76001,131.77,66.133
78001,198.15,49.877
80001,280.27,37.926
82001,3.0786,50.624
84001,71.471,66.356
86001,136.98,77.864
88001,194.15,88.1368
90001,239.2,91.6482
92001,283.55,85.751
94001,336.73,76.655
96001,40.664,67.198
98001,112.53,54
100001,197.11,41.189
102001,281.63,47.822
104001,345.05,63.163
106001,45.911,76.36
108001,104.76,89.964367
110001,152.95,95.6354
112001,199.93,85.9087
114001,252.54,73.993
116001,310.58,64.257
118001,20.727,53.305
120001,107.91,45.984
122001,195.46,51.152
124001,263.2,62.625
126001,320.44,73.588
128001,14.854,86.9657
130001,63.141,96.8879
132001,111.84,89.50236
134001,169.13,75.492
136001,227.61,62.86
138001,291.27,48.996
140001,17.12,43.619
142001,103.34,54.127
144001,175.95,65.779
146001,237.75,74.827
148001,289.94,84.8169
150001,335.12,92.9706
152001,21.286,89.78899
154001,79.795,78.26
156001,143.88,65.682
158001,209.38,49.339
160001,291.59,38.212
162001,14.683,51.277
164001,83.964,66.626
166001,149.6,77.708
168001,206.06,87.5905
170001,250.8,91.3775
172001,295.07,86.1549
174001,348.86,77.1
176001,53.413,67.345
178001,124.83,53.599
180001,208.92,40.347
182001,292.86,47.843
184001,356.53,63.585
186001,58.233,76.787
188001,117.31,90.037608
190001,165.12,95.0506
192001,211.64,85.5591
194001,263.88,74.163
196001,322.58,64.729
198001,33.491,53.771
200001,120.48,45.672
202001,207.89,50.486
204001,274.61,62.392
206001,331.87,73.799
208001,26.99,87.505
210001,75.562,97.1141
212001,124.3,89.0597
214001,180.94,75.061
216001,238.83,62.758
218001,303.11,49.478
220001,29.448,44.36
222001,116.04,54.054
224001,188.46,65.338
226001,249.35,74.413
228001,301.42,84.8146
230001,346.99,93.5638
232001,33.624,90.092812
234001,92.421,78.05
236001,155.84,65.204
238001,220.54,48.89
240001,302.99,38.679
242001,26.447,51.915
244001,96.559,66.807
246001,162.15,77.465
248001,217.85,87.0371
250001,262.37,91.2268
252001,306.65,86.6302
254001,1.1382,77.504
256001,66.15,67.393
