Time/s,Azimuth/deg,Zenith/deg
1,268.99,37.838
321,171.38,43.45
641,65.507,46.676
961,325.17,42.018
1281,228.9,44.142
1601,122.13,51.407
1921,16.42,50.838
2241,279.26,49.722
2561,175.25,56.217
2881,65.391,59.35
3201,323.55,57.382
3521,223.57,60.858
3841,113.92,65.963
4161,6.6572,64.911
4481,267.13,65.421
4801,161.51,70.805
5121,51,71.817
5441,308.14,70.411
5761,206.47,74.695
6081,96.44,78.179
6401,348.93,76.489
6721,247.77,78.559
7041,141.02,84.0129
7361,30.301,83.7412
7681,286.14,83.0938
8001,182.13,88.6512
8321,71.286,91.1481
8641,323.01,88.43
8961,219.1,91.0487
9281,110.05,96.0642
9601,359.1,93.5076
9921,253.74,91.3292
10241,146.71,95.6375
10561,35.078,95.7583
10881,288.07,90.34
11201,183.39,90.7016
11521,72.914,92.9934
11841,323.83,88.2057
12161,220.83,84.467
12481,113.88,86.5058
12801,2.9709,84.5849
13121,259.02,79
13441,156.33,79.124
13761,46.3,79.744
14081,298.79,74.733
14401,198.3,72.354
14721,92.093,74.148
15041,341.6,71.058
15361,239.39,66.505
15681,137.87,67.708
16001,27.934,66.959
16321,281.21,61.22
16641,182.39,60.181
16961,76.695,61.464
17281,326.79,56.138
17601,226.51,51.765
17921,126.7,54.059
18241,18.243,51.523
18561,274.13,44.17
18881,178.38,45.403
19201,74.572,47.769
19521,329.44,41.328
19841,233.92,38.836
20161,133.53,45.287
20481,28.082,44.618
20801,290.92,39.891
21121,192.12,45.389
21441,84.485,50.574
21761,342.37,47.802
22081,245.34,49.295
22401,137.97,56.368
22721,30.122,56.952
23041,291.22,55.782
23361,188.09,61.266
23681,77.522,64.636
24001,333.69,62.801
24321,233.91,65.502
24641,125.11,70.466
24961,16.475,69.673
25281,275.95,69.735
25601,171.51,74.975
25921,60.705,76.424
26241,316.26,74.866
26561,214.73,78.942
26881,105.37,83.0216
27201,356.47,81.4159
27521,254.14,82.9249
27841,147.95,88.8007
28161,36.706,88.8846
28481,290.92,87.2286
28801,186.46,92.1541
29121,75.708,95.203
29441,326.45,91.5709
29761,221.84,92.2797
30081,112.84,96.9583
30401,1.7271,94.4079
30721,256.33,90.33457
31041,149.91,93.0328
31361,38.435,93.4347
31681,291.57,87.5576
32001,188.12,86.3363
32321,78.616,88.3405
32641,329.18,84.1741
32961,226.91,79.816
33281,121.61,81.3773
33601,10.709,80.0747
33921,266.23,74.65
34241,164.93,74.352
34561,55.872,75.315
34881,307.33,70.639
35201,207.11,67.837
35521,102.48,69.659
35841,351.75,66.834
36161,248.58,61.752
36481,148.57,62.644
36801,39.759,62.202
37121,291.96,55.897
37441,193.8,54.172
37761,90.298,56.033
38081,340.95,50.794
38401,240.44,45.327
38721,142.81,48.398
39041,36.38,47.474
39361,293.33,39.915
39681,198.38,41.242
40001,95.306,46.137
40321,351.41,41.89
40641,256.22,39.366
40961,154.34,46.74
41281,47.513,48.619
41601,309.05,45.177
41921,209.72,49.788
42241,100.64,55.706
42561,356.13,54.185
42881,258.27,55.064
43201,151.47,61.457
43521,42.042,62.588
43841,301.41,61.239
44161,199.28,65.896
44481,88.701,69.382
44801,343.14,67.617
45121,243.23,69.743
45441,135.53,74.755
45761,25.859,74.292
46081,284.09,74.006
46401,180.5,79.281
46721,69.699,81.2949
47041,323.6,79.555
47361,221.65,83.3203
47681,112.91,88.0723
48001,2.8329,86.4458
48321,259.08,86.9606
48641,152.96,92.8918
48961,41.456,93.33
49281,294.4,90.28525
49601,189.41,93.7934
49921,78.718,97.1139
50241,329.08,92.7816
50561,224.42,91.3082
50881,115.83,95.0725
51201,4.696,92.8635
51521,259.71,87.5263
51841,154.54,88.7089
52161,43.478,89.33477
52481,296.45,83.6642
52801,194.29,81.4516
53121,86.111,83.2932
53441,336.15,79.83
53761,234.08,75.246
54081,130.43,76.524
54401,19.767,75.754
54721,274.33,70.459
55041,174.1,69.76
55361,66.243,70.984
55681,316.74,66.438
56001,216.37,63.06
56321,113.47,64.848
56641,2.9902,62.199
56961,258.7,56.345
57281,160.21,56.918
57601,53.134,57.022
57921,304.93,50.188
58241,207.28,47.687
58561,106.2,50.679
58881,358.43,46.343
59201,258.41,40.008
59521,162.09,44.087
59841,57.02,45.728
60161,315.52,39.324
60481,220.47,40.506
60801,116.14,47.419
61121,11.514,45.798
61441,275.53,43.641
61761,172.67,50.626
62081,63.903,54.036
62401,323.18,51.585
62721,223.87,55.152
63041,114.45,60.998
63361,7.8143,60.134
63681,268.99,60.447
64001,163.33,66.166
64321,52.98,67.6
64641,310.71,66.05
64961,209.34,70.127
65281,99.232,73.828
65601,352.16,72.19
65921,251.72,73.888
66241,145.12,79.155
66561,34.667,79.111
66881,291.38,78.462
67201,188.16,83.7856
67521,77.56,86.4592
67841,329.84,84.3654
68161,226.98,87.4253
68481,118.62,92.7268
68801,7.7167,90.98667
69121,262.64,89.952788
69441,156.29,95.2337
69761,44.714,96.0331
70081,297.03,91.5559
70401,192.01,93.0571
70721,81.507,96.2212
71041,331.82,91.7364
71361,227.76,88.4119
71681,120.19,91.0722
72001,9.0504,89.39321
72321,264.37,83.5839
72641,160.78,83.6763
72961,50.428,84.5323
73281,302.82,79.388
73601,201.63,76.635
73921,94.945,78.444
74241,344.49,75.598
74561,242.07,70.883
74881,139.95,71.915
75201,29.798,71.559
75521,283.15,66.211
75841,183.69,65.008
76161,77.321,66.421
76481,327.17,61.829
76801,226.32,57.663
77121,125.36,59.46
77441,15.822,57.121
77761,270.6,50.334
78081,173.6,50.658
78401,68.776,51.894
78721,321.32,45.07
79041,224.24,41.772
79361,124.98,46.467
79681,18.972,44.215
80001,280.27,37.926
80321,183.64,42.611
80641,78.024,46.959
80961,336.51,42.707
81281,240.79,43.538
81601,134.88,51.103
81921,28.213,51.48
82241,290.51,49.698
82561,187.86,55.657
82881,77.797,59.657
83201,334.78,57.731
83521,235.53,60.385
83841,126.67,65.902
84161,18.397,65.388
84481,278.5,65.211
84801,174.08,70.464
85121,63.333,72.211
85441,319.46,70.528
85761,218.46,74.229
86081,109.1,78.327
86401,0.65385,76.883
86721,259.26,78.178
87041,153.52,83.821
87361,42.544,84.243
87681,297.58,83.0333
88001,194.15,88.1368
88321,83.8,91.4883
88641,334.73,88.8007
88961,230.78,90.51411
89281,122.48,95.923
89601,11.156,94.1284
89921,265.3,91.1966
90241,158.92,95.0638
90561,47.387,96.1533
90881,299.65,90.7116
91201,195.3,90.17193
91521,85.435,92.868
91841,335.63,88.7714
92161,232.38,84.3062
92481,126.32,86.0629
92801,15.249,84.954
93121,270.41,79.229
93441,168.33,78.653
93761,58.952,79.776
94081,310.47,75.176
94401,209.77,72.07
94721,104.65,73.877
95041,353.9,71.492
95361,250.65,66.533
95681,149.93,67.247
96001,40.664,67.198
96321,292.81,61.568
96641,193.84,59.717
96961,89.327,61.362
97281,339.13,56.71
97601,237.65,51.538
97921,138.82,53.557
98241,30.988,52.039
98561,285.67,44.488
98881,189.94,44.637
99201,87.21,47.81
99521,341.5,42.163
99841,245.27,38.357
100161,146.01,44.701
100481,40.332,45.29
100801,302.12,40.202
101121,204.47,44.6
101441,97.072,50.674
101761,353.73,48.452
102081,257.04,48.889
102401,150.76,56.007
102721,42.092,57.477
103041,302.41,55.845
103361,200.53,60.751
103681,90.061,64.859
104001,345.05,63.163
104321,245.65,65.086
104641,137.84,70.355
104961,28.397,70.138
105281,287.27,69.578
105601,183.91,74.604
105921,73.159,76.79
106241,327.69,75.042
106561,226.54,78.459
106881,118,83.1166
107201,8.3524,81.8666
107521,265.6,82.5787
107841,160.3,88.5061
108161,49.036,89.40752
108481,302.45,87.282
108801,198.38,91.561
109121,88.184,95.4429
109441,338.25,92.0667
109761,233.51,91.8226
110081,125.23,96.6437
110401,13.802,95.015
110721,267.87,90.36436
111041,162.11,92.4412
111361,50.819,93.6694
111681,303.13,88.0077
112001,199.93,85.9087
112321,91.196,88.1202
112641,341.09,84.6893
112961,238.34,79.753
113281,133.97,80.9307
113601,23.153,80.3659
113921,277.63,74.928
114241,176.77,73.91
114561,68.569,75.292
114881,319.18,71.091
115201,218.46,67.597
115521,114.93,69.34
115841,4.2388,67.261
116161,259.85,61.837
116481,160.44,62.142
116801,52.531,62.403
117121,303.78,56.333
117441,205.08,53.685
117761,102.81,55.831
118081,353.47,51.458
118401,251.61,45.183
118721,154.8,47.739
119041,49.072,47.938
119361,304.97,40.467
119681,210.01,40.43
120001,107.91,45.984
120321,3.3146,42.747
120641,267.61,39.125
120961,166.94,46.065
121281,59.78,49.109
121601,320.19,45.592
121921,221.96,49.136
122241,113.33,55.676
122561,7.6426,54.764
122881,269.77,54.798
123201,164.2,61.078
123521,54.197,63.029
123841,312.62,61.355
124161,211.51,65.414
124481,101.33,69.541
124801,354.66,67.997
125121,254.82,69.367
125441,148.2,74.598
125761,37.95,74.755
126081,295.41,73.904
126401,192.72,78.866
126721,82.234,81.6339
127041,335.16,79.804
127361,233.33,82.817
127681,125.47,88.0902
128001,14.854,86.9657
128321,270.57,86.6824
128641,165.18,92.4652
128961,53.816,93.8418
129281,306,90.48497
129601,201.31,93.174
129921,91.165,97.1898
130241,340.91,93.3669
130561,236.08,90.98322
130881,128.23,94.6349
131201,16.82,93.3817
131521,271.2,87.6941
131841,166.68,88.157
132161,55.977,89.43006
132481,308.04,84.1406
132801,205.96,81.1169
133121,98.702,83.0205
133441,348.22,80.291
133761,245.43,75.258
134081,142.67,76.075
134401,32.356,75.989
134721,285.79,70.777
135041,185.76,69.339
135361,78.934,70.909
135681,328.79,66.911
136001,227.61,62.86
136321,125.78,64.472
136641,15.64,62.629
136961,270.05,56.503
137281,171.88,56.353
137601,65.885,57.168
137921,316.98,50.759
138241,218.45,47.182
138561,118.59,50.327
138881,10.993,47.073
139201,269.7,40.043
139521,174.07,43.276
139841,69.617,46.051
140161,327.09,40.058
140481,232.23,39.803
140801,128.82,47.09
141121,23.368,46.543
141441,286.8,43.624
141761,185.29,49.967
142081,76.292,54.361
